componentName,timeDifference
/,25.903
/product/Women/true/27891,5.055
/,10.914
/product/Women/true/12532,5.558
/,16.276
/product/Women/true/52193,4.83
/,13.486
/product/Women/false/48496,3.9370000000000003
/cart,3.354
/,12.682
/product/Women/true/22714,2.955
/cart,5.371
