componentName,timeDifference
/,9.53
/cart,1.9100000000000001
/,11.471
/product/Women/true/12532,7.948
/cart,1.8439999999999999
/,14.232
/product/Women/true/27891,6.522
/,4.896
/product/Women/true/38026,6.626
/,11.337
/product/Women/true/57095,7.521
/,1.117
/cart,2.189
/,24.252
/product/Women/false/48319,6.665
/,11.815
/product/Women/false/58030,5.281
/,0.87
/cart,5.114
/,26.069
/product/Women/true/22714,5.408
/,5.848
/cart,11.327
/,9.753
/product/Women/true/49041,4.167
/,2.866
/product/Women/true/49005,5.693
/,37.402
/cart,16.289
