componentName,timeDifference
/,25.922
/men,36.459
/product/Men/true/2467,10.859
/men,1.756
Are you sure you are not overspending on this purchase?,4.928
/product/Men/true/2467,8.86
/men,40.325
Will this purchase bring you long-term satisfaction?,1.498
/product/Men/false/8848,8.957
/men,76.921
Is this item produced sustainably?,1.145
/product/Men/false/3647,6.341
/men,9.912
Will you wear this item more than once a month?,1.232
/product/Men/false/24845,6.049
/men,30.526
Are you sure you are not buying this just because you saw it on social media?,1.807
/product/Men/false/39028,6.399
/cart,5.701
