componentName,timeDifference
/,20.208
/men,16.495
Is this item produced sustainably?,14.014
/product/Men/true/7054,22.335
/men,14.391
Are you sure you are not buying this just because you saw it on social media?,6.133
/product/Men/true/26134,20.175
/men,18.846
Are you sure you are not buying this item on impulse? Do you really need it?,4.652
/product/Men/true/17152,10.463
/men,23.272
Are you sure you are not overspending on this purchase?,2.824
/product/Men/false/12511,10.155
/men,39.412
Will you wear this item more than 10 times?,1.6219999999999999
/product/Men/false/48578,6.846
/cart,4.503
/men,11.268
Is this item produced sustainably?,4.016
/product/Men/true/48950,9.332
/cart,66.757
