componentName,timeDifference
/,10.008
/men,19.212
/product/Men/true/5970,8.338
/men,13.953
/product/Men/false/26679,6.051
/men,14.625
/product/Men/false/48457,7.737
/men,30.154
/product/Men/true/38560,9.509
/men,5.213
/cart,2.082
/men,39.346
/product/Men/true/59126,6.885
/men,15.146
/product/Men/true/48562,8.346
/cart,6.707
