componentName,timeDifference
/,26.801
/product/Women/true/27891,3.766
/,7.06
/product/Women/true/43523,2.839
/,5.9
/product/Women/true/43815,3.211
/,5.312
/,3.771
/product/Women/true/49041,2.651
/,12.801
/cart,3.717
/,17.378
/product/Women/false/13386,2.606
/,2.99
/cart,3.181
/,3.477
/cart,1.296
