componentName,timeDifference
/,23.454
/product/Women/false/26905,7.791
/,18.871
/product/Women/true/12536,6.083
/,19.565
/product/Women/true/57095,4.275
/,17.293
/product/Women/true/2589,3.828
/cart,5.134
/,23.855
/product/Women/true/34756,4.46
/,23.829
/product/Women/false/59777,4.89
/,30.271
/product/Women/false/21693,6.357
/,5.6899999999999995
/cart,4.272
