componentName,timeDifference
/,20.933
/men,76.749
Are you sure you are not buying this item on impulse? Do you really need it?,1.6059999999999999
/product/Men/false/54514,9.387
/men,148.889
Does this item fit in your budget?,4.837
/product/Men/false/48457,10.501
/men,54.728
Are you sure you are not buying this just because you saw it on social media?,23.085
/product/Men/true/38560,30.81
/men,27.822
Is this item produced sustainably?,1.165
/product/Men/true/48575,6.367
/men,11.721
/cart,4.162
/men,39.044
Will you wear this item more than 10 times?,6.26
/product/Men/true/17152,11.164
/men,8.798
/cart,8.335
/men,23.204
Are you sure you are not buying this item on impulse? Do you really need it?,0.94
/product/Men/true/48950,7.498
/cart,19.417
/men,1.19
/cart,21.133
/cart,11.532
