componentName,timeDifference
/,27.242
/product/Women/true/27891,7.536
/,23.281
/product/Women/true/57095,9.843
/,37.589
/product/Women/true/46087,3.729
/,33.402
/product/Women/true/59467,3.912
/,33.719
/product/Women/true/10135,3.511
/,30.657
/cart,5.678
/,14.363
/product/Women/true/57069,11.582
/,10.515
/product/Women/true/48659,3.17
/cart,10.699
