componentName,timeDifference
/,8.539
Are you sure you are not buying this just because you saw it on social media?,7.304
/product/Women/true/22714,10.923
/,28.227
Does this purchase align with your environmental values?,7.634
/product/Women/true/20011,15.164
/,6.5
/cart,9.545
Will you wear this item more than 10 times?,3.66
/product/Women/false/32585,10.269
/,8.002
Does this item fit in your budget?,2.9370000000000003
/product/Women/true/2589,7.536
/,2.14
/cart,2.5140000000000002
/,22.069
/cart,14.0
/,14.331
/product/Women/false/59777,2.716
/,20.673000000000002
Are you sure you are not buying this item on impulse? Do you really need it?,7.828
/product/Women/false/51633,10.12
/,12.1
Are you sure you are not buying this just because you saw it on social media?,2.822
/product/Women/false/46121,6.731
/cart,5.378
