componentName,timeDifference
/,21.831
/cart,1.233
/,7.132
/product/Women/true/27891,7.043
/,3.456
/product/Women/true/10135,7.251
/,13.977
/product/Women/false/15504,5.006
/,38.262
/product/Women/true/27905,6.17
/cart,6.446
/,10.902
/product/Women/true/49041,4.154
/,19.959
/product/Women/true/6880,6.415
/,26.572
/product/Women/false/59777,4.205
/cart,6.953
