componentName,timeDifference
/,1.8940000000000001
/men,94.789
Are you sure you are not buying this just because you saw it on social media?,1.8199999999999998
/product/Men/true/26134,9.295
/men,12.414
Does this item fit in your budget?,0.934
/product/Men/true/53628,4.931
/men,9.163
/cart,2.73
/men,8.675
Are you sure you are not buying this item on impulse? Do you really need it?,1.089
/product/Men/true/17152,4.55
/men,28.474
/cart,9.639
/men,41.394
Does this purchase align with your environmental values?,0.801
/product/Men/false/22406,3.268
/men,15.929
/cart,2.659
/men,13.962
Will you wear this item more than once a month?,0.728
/product/Men/false/3647,2.339
/cart,7.263
/men,22.515
/cart,14.488
/men,84.529
Are you sure you are not buying this just because you saw it on social media?,0.798
/product/Men/true/48956,2.939
/men,1.28
/cart,8.873
