timestamp,componentName,action,control
2025-05-27T09:36:10.126Z,/,start,TRUE
2025-05-27T09:38:04.686Z,/,stop,TRUE
2025-05-27T09:38:04.686Z,/product/Women/true/14717,start,TRUE
2025-05-27T09:38:13.387Z,/product/Women/true/14717,stop,TRUE
2025-05-27T09:38:13.387Z,/,start,TRUE
2025-05-27T09:38:35.336Z,/,stop,TRUE
2025-05-27T09:38:35.336Z,/product/Women/false/32585,start,TRUE
2025-05-27T09:38:42.026Z,/product/Women/false/32585,stop,TRUE
2025-05-27T09:38:42.026Z,/,start,TRUE
2025-05-27T09:38:55.292Z,/,stop,TRUE
2025-05-27T09:38:55.292Z,/product/Women/true/35258,start,TRUE
2025-05-27T09:39:10.999Z,/product/Women/true/35258,stop,TRUE
2025-05-27T09:39:10.999Z,/,start,TRUE
2025-05-27T09:39:26.434Z,/,stop,TRUE
2025-05-27T09:39:26.434Z,/product/Women/false/48319,start,TRUE
2025-05-27T09:39:33.796Z,/product/Women/false/48319,stop,TRUE
2025-05-27T09:39:33.796Z,/,start,TRUE
2025-05-27T09:39:35.206Z,/,stop,TRUE
2025-05-27T09:39:35.206Z,/cart,start,TRUE
2025-05-27T09:39:40.253Z,/cart,start,TRUE
2025-05-27T09:39:48.613Z,/,start,TRUE
2025-05-27T09:40:34.933Z,/,stop,TRUE
2025-05-27T09:40:34.933Z,/product/Women/true/58137,start,TRUE
2025-05-27T09:40:40.807Z,/product/Women/true/58137,stop,TRUE
2025-05-27T09:40:40.807Z,/,start,TRUE
2025-05-27T09:40:42.892Z,/,stop,TRUE
2025-05-27T09:40:42.892Z,/cart,start,TRUE
2025-05-27T09:41:13.815Z,/cart,stop,TRUE
2025-05-27T09:41:13.815Z,/,start,TRUE
2025-05-27T09:41:31.833Z,/,stop,TRUE
2025-05-27T09:41:31.833Z,/product/Women/true/46087,start,TRUE
2025-05-27T09:41:35.769Z,/product/Women/true/46087,stop,TRUE
2025-05-27T09:41:35.769Z,/cart,start,TRUE
2025-05-27T09:41:39.788Z,/cart,stop,TRUE
2025-05-27T09:43:47.272Z,/,start,FALSE
2025-05-27T09:44:10.745Z,/,stop,FALSE
2025-05-27T09:44:10.745Z,/product/Women/false/19012,start,FALSE
2025-05-27T09:44:12.358Z,Are you sure you are not buying this just because you saw it on social media?,start,FALSE
2025-05-27T09:44:16.014Z,ADIDAS Originals Women Supergirl TT Pink Jacket,buy,FALSE
2025-05-27T09:44:16.014Z,Are you sure you are not buying this just because you saw it on social media?,stop,FALSE
2025-05-27T09:44:20.354Z,/product/Women/false/19012,stop,FALSE
2025-05-27T09:44:20.355Z,/,start,FALSE
2025-05-27T09:44:48.268Z,/,stop,FALSE
2025-05-27T09:44:48.268Z,/product/Women/false/32585,start,FALSE
2025-05-27T09:44:49.556Z,Will you wear this item more than once a month?,start,FALSE
2025-05-27T09:44:53.978Z,Only  Women Black Trousers,buy,FALSE
2025-05-27T09:44:53.978Z,Will you wear this item more than once a month?,stop,FALSE
2025-05-27T09:44:59.046Z,/,start,FALSE
2025-05-27T09:45:13.641Z,/,stop,FALSE
2025-05-27T09:45:13.641Z,/product/Women/true/46087,start,FALSE
2025-05-27T09:45:14.595Z,Does this item fit in your budget?,start,FALSE
2025-05-27T09:45:23.844Z,Does this item fit in your budget?,stop,FALSE
2025-05-27T09:45:25.465Z,/product/Women/true/46087,stop,FALSE
2025-05-27T09:45:25.465Z,/,start,FALSE
