componentName,timeDifference
/,54.633
/product/Women/true/6880,6.104
/men,2.61
/cart,4.366
/men,13.06
/product/Men/true/17152,3.549
/men,34.912
/product/Men/true/26134,3.237
/men,10.974
/product/Men/true/42598,5.044
/men,9.701
/cart,3.7800000000000002
/men,23.474
/product/Men/false/29568,3.529
/men,1.049
/cart,1.741
/men,26.981
/product/Men/true/53628,3.004
/cart,9.034
