componentName,timeDifference
/,10.941
/men,53.599
/,28.904
/men,65.204
Are you sure you are not buying this just because you saw it on social media?,10.225
/product/Men/true/31287,12.556000000000001
/men,24.996
Are you sure you are not buying this item on impulse? Do you really need it?,0.899
/product/Men/true/24311,4.777
/men,17.854
/,11.945
/men,10.077
Will you wear this item more than 10 times?,1.6949999999999998
/product/Men/true/42598,3.993
/men,21.411
Is this item produced sustainably?,0.804
/product/Men/true/24770,3.407
/men,30.073
/cart,13.208
/men,14.325
Are you sure you are not overspending on this purchase?,0.695
/product/Men/true/48950,5.624
/cart,3.708
/men,41.629
Are you sure you are not buying this just because you saw it on social media?,1.223
/product/Men/true/17152,7.355
/cart,7.844
