componentName,timeDifference
/,56.662
/product/Women/true/2589,7.263
/,22.817
/product/Women/true/10777,8.741
/men,34.765
/,46.258
/men,50.801
/product/Men/false/29848,6.911
/men,14.154
/product/Men/false/48947,7.233
/men,2.7039999999999997
/cart,10.233
/men,35.073
/cart,7.793
/men,25.528
/product/Men/true/17152,3.927
/cart,6.076
/men,19.17
/,19.99
/product/Women/true/52193,6.295
/cart,7.061
