componentName,timeDifference
/,37.621
/men,32.336
Are you sure you are not buying this item on impulse? Do you really need it?,28.242
/product/Men/false/6609,41.063
/men,49.796
Does this item fit in your budget?,8.858
/product/Men/true/44919,12.084
/men,24.161
/cart,13.350999999999999
/men,0.001
Will you wear this item more than 10 times?,17.437
/product/Men/true/38560,25.002
/men,18.72
/product/Men/true/25447,3.134
/men,44.574
Is this item produced sustainably?,8.127
/product/Men/false/54514,11.699
/men,2.468
/cart,2.526
/men,5.336
Are you sure you are not buying this just because you saw it on social media?,27.541
/product/Men/false/6609,30.126
/cart,11.088
/men,34.882
Are you sure you are not buying this item on impulse? Do you really need it?,5.455
/product/Men/true/24288,8.795
/cart,5.377
